Round,OPP_final,OPP_current,P
1.0,16.0,9.0,0.0
1.0,16.0,10.0,0.0
1.0,16.0,11.0,0.0
1.0,16.0,12.0,0.467
1.0,16.0,13.0,0.0
1.0,16.0,14.0,0.0
1.0,16.0,15.0,0.1044
1.0,16.0,16.0,0.4286
1.0,16.0,17.0,0.0
1.0,17.0,1.0,0.0
1.0,17.0,2.0,0.1111
1.0,17.0,3.0,0.037
1.0,17.0,4.0,0.037
1.0,17.0,5.0,0.0741
1.0,17.0,6.0,0.0741
1.0,17.0,7.0,0.0
1.0,17.0,8.0,0.0
1.0,17.0,9.0,0.0
1.0,17.0,10.0,0.0
1.0,17.0,11.0,0.0741
1.0,17.0,12.0,0.0
1.0,17.0,13.0,0.2222
1.0,17.0,14.0,0.1481
1.0,17.0,15.0,0.0
1.0,17.0,16.0,0.0
1.0,17.0,17.0,0.2222
1.0,2.0,1.0,0.0124
1.0,2.0,2.0,0.9876
1.0,2.0,3.0,0.0
1.0,2.0,4.0,0.0
1.0,2.0,5.0,0.0
1.0,2.0,6.0,0.0
1.0,2.0,7.0,0.0
1.0,2.0,8.0,0.0
1.0,2.0,9.0,0.0
1.0,2.0,10.0,0.0
1.0,2.0,11.0,0.0
1.0,2.0,12.0,0.0
1.0,2.0,13.0,0.0
1.0,2.0,14.0,0.0
1.0,2.0,15.0,0.0
1.0,2.0,16.0,0.0
1.0,2.0,17.0,0.0
1.0,3.0,1.0,0.0034
1.0,3.0,2.0,0.1357
1.0,3.0,3.0,0.8609
1.0,3.0,4.0,0.0
1.0,3.0,5.0,0.0
1.0,3.0,6.0,0.0
1.0,3.0,7.0,0.0
1.0,3.0,8.0,0.0
1.0,3.0,9.0,0.0
1.0,3.0,10.0,0.0
1.0,3.0,11.0,0.0
1.0,3.0,12.0,0.0
1.0,3.0,13.0,0.0
1.0,3.0,14.0,0.0
1.0,3.0,15.0,0.0
1.0,3.0,16.0,0.0
1.0,3.0,17.0,0.0
1.0,4.0,1.0,0.0012
1.0,4.0,2.0,0.0564
1.0,4.0,3.0,0.0769
1.0,4.0,4.0,0.8655
1.0,4.0,5.0,0.0
1.0,4.0,6.0,0.0
1.0,4.0,7.0,0.0
1.0,4.0,8.0,0.0
1.0,4.0,9.0,0.0
1.0,4.0,10.0,0.0
1.0,4.0,11.0,0.0
1.0,4.0,12.0,0.0
1.0,4.0,13.0,0.0
1.0,4.0,14.0,0.0
1.0,4.0,15.0,0.0
1.0,4.0,16.0,0.0
1.0,4.0,17.0,0.0
1.0,5.0,1.0,0.0005
1.0,5.0,2.0,0.0333
1.0,5.0,3.0,0.0411
1.0,5.0,4.0,0.0728
1.0,5.0,5.0,0.8522
1.0,5.0,6.0,0.0
1.0,5.0,7.0,0.0
1.0,5.0,8.0,0.0
1.0,5.0,9.0,0.0
1.0,5.0,10.0,0.0
1.0,5.0,11.0,0.0
1.0,5.0,12.0,0.0
1.0,5.0,13.0,0.0
1.0,5.0,14.0,0.0
1.0,5.0,15.0,0.0
1.0,5.0,16.0,0.0
1.0,5.0,17.0,0.0
1.0,6.0,1.0,0.0013
1.0,6.0,2.0,0.039
1.0,6.0,3.0,0.0431
1.0,6.0,4.0,0.0775
1.0,6.0,5.0,0.1185
1.0,6.0,6.0,0.7206
1.0,6.0,7.0,0.0
1.0,6.0,8.0,0.0
1.0,6.0,9.0,0.0
1.0,6.0,10.0,0.0
1.0,6.0,11.0,0.0
1.0,6.0,12.0,0.0
1.0,6.0,13.0,0.0
1.0,6.0,14.0,0.0
1.0,6.0,15.0,0.0
1.0,6.0,16.0,0.0
1.0,6.0,17.0,0.0
1.0,7.0,1.0,0.0
1.0,7.0,2.0,0.042
1.0,7.0,3.0,0.0424
1.0,7.0,4.0,0.0783
1.0,7.0,5.0,0.1208
1.0,7.0,6.0,0.0
1.0,7.0,7.0,0.7165
1.0,7.0,8.0,0.0
1.0,7.0,9.0,0.0
1.0,7.0,10.0,0.0
1.0,7.0,11.0,0.0
1.0,7.0,12.0,0.0
1.0,7.0,13.0,0.0
1.0,7.0,14.0,0.0
1.0,7.0,15.0,0.0
1.0,7.0,16.0,0.0
1.0,7.0,17.0,0.0
1.0,8.0,1.0,0.0
1.0,8.0,2.0,0.0
1.0,8.0,3.0,0.0859
1.0,8.0,4.0,0.0728
1.0,8.0,5.0,0.1237
1.0,8.0,6.0,0.0
1.0,8.0,7.0,0.0
1.0,8.0,8.0,0.7176
1.0,8.0,9.0,0.0
1.0,8.0,10.0,0.0
1.0,8.0,11.0,0.0
1.0,8.0,12.0,0.0
1.0,8.0,13.0,0.0
1.0,8.0,14.0,0.0
1.0,8.0,15.0,0.0
1.0,8.0,16.0,0.0
1.0,8.0,17.0,0.0
1.0,9.0,1.0,5e-05
1.0,9.0,2.0,5e-05
1.0,9.0,3.0,5e-05
1.0,9.0,4.0,5e-05
1.0,9.0,5.0,5e-05
1.0,9.0,6.0,5e-05
1.0,9.0,7.0,5e-05
1.0,9.0,8.0,5e-05
1.0,9.0,9.0,5e-05
1.0,9.0,10.0,5e-05
1.0,9.0,11.0,5e-05
1.0,9.0,12.0,5e-05
1.0,9.0,13.0,5e-05
1.0,9.0,14.0,5e-05
1.0,9.0,15.0,5e-05
1.0,9.0,16.0,5e-05
1.0,9.0,17.0,5e-05
2.0,1.0,1.0,0.0
2.0,1.0,2.0,0.0
